"No","Kode Kemendagri","Kabupaten","Provinsi","Ibu Kota","Kecamatan","Kecamatan/Desa"
"001.","11.05","Kabupaten Aceh Barat","Aceh","Meulaboh","12","321"
"002.","11.12","Kabupaten Aceh Barat Daya","Aceh","Blangpidie","09","152"
"003.","11.06","Kabupaten Aceh Besar","Aceh","Kota Jantho","23","609"
"004.","11.14","Kabupaten Aceh Jaya","Aceh","Calang","09","172"
"005.","11.01","Kabupaten Aceh Selatan","Aceh","Tapaktuan","18","260"
"006.","11.10","Kabupaten Aceh Singkil","Aceh","Singkil","11","116"
"007.","11.16","Kabupaten Aceh Tamiang","Aceh","Karang Baru","12","128"
"008.","11.04","Kabupaten Aceh Tengah","Aceh","Takengon","14","295"
"009.","11.02","Kabupaten Aceh Tenggara","Aceh","Kutacane","16","385"
"010.","11.03","Kabupaten Aceh Timur","Aceh","Idi Rayeuk","24","513"
"011.","11.08","Kabupaten Aceh Utara","Aceh","Lhoksukon","27","852"
"012.","31.01","Kabupaten Administrasi Kepulauan Seribu","Daerah Khusus Ibukota Jakarta","Pulau Pramuka","02","006"
"013.","13.06","Kabupaten Agam","Sumatra Barat","Lubuk Basung","16","082"
"014.","53.05","Kabupaten Alor","Nusa Tenggara Timur","Kalabahi","17","175"
"015.","12.09","Kabupaten Asahan","Sumatra Utara","Kisaran","25","204"
"016.","91.18","Kabupaten Asmat","Papua Selatan","Agats","19","221"
"017.","51.03","Kabupaten Badung","Bali","Mengwi","06","062"
"018.","63.11","Kabupaten Balangan","Kalimantan Selatan","Paringin","08","157"
"019.","32.04","Kabupaten Bandung","Jawa Barat","Soreang","31","280"
"020.","32.17","Kabupaten Bandung Barat","Jawa Barat","Ngamprah","16","165"
"021.","72.01","Kabupaten Banggai","Sulawesi Tengah","Luwuk","23","337"
"022.","72.07","Kabupaten Banggai Kepulauan","Sulawesi Tengah","Salakan","12","144"
"023.","72.11","Kabupaten Banggai Laut","Sulawesi Tengah","Banggai","07","066"
"024.","19.01","Kabupaten Bangka","Kepulauan Bangka Belitung","Sungailiat","08","081"
"025.","19.05","Kabupaten Bangka Barat","Kepulauan Bangka Belitung","Muntok","06","064"
